"Year","Road.Type","Speed","Junction.Type","Brightness","Wind.Speed","Casualty.Class","Gender","Age","Damage","Severity"
"98","M",72,"1",51447,24,"D","F",48,29707.46,30
"98","M",74,"1",7027,23,"P","F",23,37113.02,58
"02","U",87,"3",65168,16,"O","F",22,2885.09,60
"99","M",34,"0",104064,9,"O","M",19,25397.53,68
"98","M",62,"1",76195,135.717421076261,"D","M",72,24612.41,52
"02","B",44,"3",118166,15,"O","M",58,13426.91,33
"99","M",66,"4",22629,7,"P","M",71,26777.7,50
"01","A",71,"1",87243,24,"P","F",22,18843.96,60
"00","U",69,"2",29184,26,"O","F",29,2389.7,47
"99","B",48,"3",73005,9,"P","M",67,13314.1,44
"02","A",49,"1",80133,20,"P","M",71,19530,50
"02","A",65,"2",22326,2,"D","M",62,17719.6,37
"00","M",43,"2",85343,23,"D","M",28,20498.98,48
"00","M",72,"4",24946,15,"O","M",74,26168.97,56
"00","M",85,"3",18662,4,"P","M",22,37469.87,60
"99","U",55,"2",16983,20,"O","M",58,2210.5,33
"00","M",51,"0",55175,18,"D","M",59,24298.95,34
"98","B",33,"0",68711,44,"O","F",34,13827.25,39
"98","C",40,"1",54589,40,"P","F",75,7295.15,58
"99","M",87,"4",108045,20,"P","M",32,35725.54,42
"00","M",45,"2",75746,38,"O","F",52,27645.42,30
"98","M",65,"3",91985,28,"P","F",36,24602.33,37
"98","M",38,"4",99417,41,"O","F",26,20017.12,52
"02","M",64,"3",95757,28,"P","F",66,26440.89,42
"98","M",90,"3",18892,15,"O","F",46,27404.59,30
"99","B",43,"3",26034,38,"P","F",60,14636.98,35
"02","M",35,"0",31717,11,"D","M",41,35354.04,33
"00","C",61,"2",76559,30,"O","F",67,8360.43,44
"98","M",36,"3",95174,13,"O","M",67,26680.57,44
"99","M",62,"4",80793,29,"P","F",52,25971.12,30
"02","A",50,"3",34869,15,"O","M",53,19569.72,31
"01","U",69,"1",52597,26,"P","F",35,1903.58,38
"02","U",40,"3",58696,3,"P","M",70,1966.76,48
"99","B",40,"2",56202,40,"O","F",46,12360.07,30
"98","M",83,"3",79960,138.689667633735,"P","M",75,33209.12,58
"00","B",30,"2",47946,45,"P","F",57,13375.24,33
"01","U",62,"1",84530,14,"D","M",49,617.63,30
"99","M",35,"1",21976,10,"P","M",33,24176.7,41
"01","C",37,"2",22111,17,"O","M",45,6140.24,31
"02","M",48,"0",5391,36,"P","F",47,25872.41,30
"02","M",34,"1",16029,13,"O","M",67,28377.15,44
"02","A",47,"4",1618,8,"O","M",27,17609.24,50
"01","C",46,"2",48942,20,"O","M",69,5146.92,47
"98","M",31,"3",117338,3,"P","M",68,31977.32,45
"98","C",50,"0",30396,35,"D","F",29,9465.35,47
"00","C",89,"4",23538,27,"D","F",21,3199.91,63
"00","C",83,"2",37254,18,"O","F",42,4362.28,32
"99","B",50,"1",113544,2,"O","M",54,14277.41,31
"00","M",73,"4",79616,13,"O","M",71,26295.37,50
"01","B",65,"3",78716,8,"P","M",55,10135.86,32
"98","M",51,"1",112559,34,"D","F",74,37577.55,56
"01","B",44,"1",11907,38,"D","F",52,10523,30
"00","B",60,"2",19097,15,"P","M",60,14026.45,35
"01","M",47,"4",37027,36,"O","F",62,26911.62,37
"99","M",42,"3",91863,39,"P","F",78,27322.17,65
"98","M",45,"1",108577,11,"O","M",40,25782.05,33
"02","B",90,"1",56525,15,"P","F",41,11148.56,33
"99","C",83,"4",94184,18,"D","F",78,7585.29,65
"02","M",81,"3",105582,20,"O","F",45,36053.93,31
"01","C",48,"3",27230,12,"P","M",63,6979.47,38
"02","C",37,"0",62165,42,"D","F",38,7135.57,35
"99","B",36,"4",1191,42,"D","F",56,11574.78,32
"98","M",72,"1",104309,19,"O","M",66,22561.98,42
"02","M",37,"3",2910,42,"O","F",33,29489.67,41
"98","M",38,"2",83955,10,"O","M",31,32376.44,44
"02","A",34,"0",4989,43,"P","F",55,16196.82,32
"01","M",74,"4",5500,9,"D","M",44,25979.4,31
"99","C",82,"2",72142,19,"P","F",79,8813.88,68
"01","M",45,"2",79490,38,"D","F",27,30825.41,50
"01","M",54,"3",119382,33,"P","F",32,37251.61,42
"02","C",58,"4",37165,20,"D","M",55,8111.27,32
"98","C",53,"0",68878,10,"D","M",49,6096.81,30
"98","A",39,"2",93186,40,"P","F",57,16646.66,33
"00","M",59,"3",97311,30,"P","F",30,35613.94,45
"02","A",69,"3",89589,26,"O","F",20,17549.53,65
"98","C",31,"4",97643,4,"O","M",26,3871.16,52
"98","B",49,"0",63881,18,"O","M",25,14155.23,54
"98","A",67,"2",61078,26,"P","F",71,18520.47,50
"99","M",82,"3",55876,19,"D","F",53,21499.07,31
"02","A",49,"2",109083,10,"O","M",57,16661.3,33
"02","M",68,"2",76469,23,"P","M",54,33394.72,31
"01","M",53,"2",55621,34,"D","F",56,28277.62,32
"99","M",87,"3",82412,18,"P","M",64,25633.28,39
"00","M",60,"1",80268,30,"O","F",75,33385.17,58
"02","M",69,"3",77142,26,"O","F",37,32323.37,36
"01","M",35,"3",31217,19,"D","M",77,33163.91,63
"99","C",90,"0",97983,15,"D","F",38,5667.05,35
"01","A",32,"2",91931,9,"D","M",33,16878.12,41
"98","M",50,"0",35754,35,"D","F",34,39925.09,39
"98","M",50,"3",73275,20,"P","M",22,26988.36,60
"00","M",39,"1",89547,11,"D","M",72,20532.32,52
"02","M",41,"2",8976,6,"P","M",25,30415.18,54
"00","B",34,"1",26859,43,"D","F",65,11267.68,41
"00","C",90,"3",24279,16,"P","M",66,4785.28,42
"02","M",57,"4",37127,24,"P","M",51,39885.52,30
"99","M",81,"1",117194,20,"O","F",56,22306.09,32
"98","A",66,"2",2198,9,"D","M",71,18418.65,50
"01","A",33,"4",105940,44,"P","F",29,16564.89,47
"98","M",30,"4",83190,45,"D","F",76,33384.93,60
"98","M",60,"2",94298,30,"P","F",23,39990.79,58
"02","B",73,"1",35855,24,"D","F",73,12861.79,54
"01","M",58,"3",73934,11,"O","M",21,36093.67,63
"02","M",76,"1",108280,14,"O","M",20,35929.78,65
"99","M",38,"3",5192,41,"P","F",59,29273.89,34
"98","M",54,"4",12945,8,"D","M",66,25503.63,42
"01","M",72,"0",84411,24,"O","F",76,28744.92,60
"00","M",69,"4",96946,18,"D","M",23,24647.67,58
"99","A",35,"1",17405,42,"P","F",55,17639.32,32
"02","C",84,"0",54968,18,"D","F",73,6038.09,54
"02","M",36,"4",14323,42,"D","F",41,23700.06,33
"02","B",85,"0",8236,18,"P","F",19,14661.67,68
"99","M",41,"0",8297,14,"P","M",42,38754.26,32
"00","U",40,"4",118200,20,"O","M",58,2608.67,33
"02","M",51,"3",76924,17,"P","M",28,31738.34,48
"98","M",88,"0",67524,6,"O","M",36,35396.34,37
"98","A",60,"3",48546,7,"D","M",57,19264.51,33
"01","M",47,"4",61425,7,"D","M",69,25680.18,47
"01","U",88,"3",89940,2,"D","M",73,1573.86,54
"00","M",79,"2",111470,17,"O","M",64,38004.2,39
"99","M",83,"3",42590,18,"O","F",77,20943.98,63
